title,content
"'어쩔수가없다' 박찬욱 ""지루할 틈 없는 이병헌""","<div class=""article-body"" id=""articletxt"" itemprop=""articleBody"">
<figure class=""article-figure"">
<div class=""figure-img"">
<img alt=""/사진=CJ ENM "" src=""https://img.hankyung.com/photo/202507/01.41250167.1.jpg""/>
</div>
<figcaption class=""figure-caption"" style=""width:1200px;"">/사진=CJ ENM </figcaption>
</figure>
                82회 베니스국제영화제 경쟁 부문 초청작 '어쩔수가없다'의 이병헌이 자신만의 전쟁을 시작한 구직자 '만수' 역으로 새롭게 돌아온다.<br/><br/>'어쩔수가없다'는 '다 이루었다'고 느낄 만큼 삶이 만족스러웠던 회사원 '만수'(이병헌)가 덜컥 해고된 후, 아내와 두 자식을 지키기 위해, 어렵게 장만한 집을 지켜내기 위해, 재취업을 향한 자신만의 전쟁을 준비하며 벌어지는 이야기를 담는다.<br/><br/>글로벌 히트작 '오징어 게임' 시리즈를 비롯해, 영화 '남산의 부장들', '백두산', '콘크리트 유토피아', '내부자들'까지 다양한 작품에서 진한 인상을 남기며 명실상부 대한민국 대표 배우로 자리매김한 이병헌. 최근작 '승부'에서 천재 바둑기사 '조훈현'을, '케이팝 데몬 헌터스'에서 '귀마'의 목소리 연기까지 완벽하게 소화하며 도전을 거듭해 왔다. 관객들은 '어쩔수가없다'의 '만수' 역을 통해 배우 이병헌의 새로운 얼굴을 다시 한번 발견하게 될 것이다.<br/><br/>25년간 헌신한 제지 공장에서 하루아침에 해고된 후 재취업을 준비하는 구직자 '만수'. 번번이 면접에서 떨어지며 어렵게 장만한 집까지 내놓아야 할 처지에 몰리자, 절실한 심정으로 자신만의 전쟁을 준비한다.<br/><br/>삶에 대한 만족감과 자부심이 넘치던 모습부터, 해고 이후 어쩔 수 없는 불안감에 점점 변해가는 모습까지, 이병헌은 벼랑 끝에 내몰린 인물의 복잡한 심경을 섬세하게 표현하며 극에 몰입하게 만든다.<br/><br/>이병헌은 ""극단적인 상황을 어떻게 하면 설득력 있게 보여줄 수 있을지에 대한 부분을 가장 신경 쓰면서 연기하려 애썼다""라고 '만수' 역에 대한 고민과 노력을 전했다.<br/><br/>'공동경비구역 JSA', '쓰리, 몬스터'에 이어 '어쩔수가없다'까지 세 작품을 함께 한 박찬욱 감독은 ""이병헌 배우는 정말 많은 표정을 가지고 있다. 필요에 따라 여러 가지 감정을 순식간에 바꿔 가면서 연기를 해서 처음부터 마지막까지 지루할 틈이 없었다""고 말했다. <br/><br/>믿고 보는 배우들의 만남과 드라마틱한 전개, 아름다운 미장센, 견고한 연출, 그리고 블랙 코미디까지 더해진 박찬욱 감독의 새 영화 '어쩔수가없다'는 오는 9월 개봉 예정이다.<br/><br/><br/><br/>김예랑 한경닷컴 기자 yesrang@hankyung.com
                                    </div>"
"임영웅, 정규 2집 CD 발매 안 한다…""진심 담은 앨범북으로""","<div class=""article-body"" id=""articletxt"" itemprop=""articleBody"">
<figure class=""article-figure"">
<div class=""figure-img"">
<img alt=""사진=물고기뮤직 제공"" src=""https://img.hankyung.com/photo/202507/01.41249927.1.jpg""/>
</div>
<figcaption class=""figure-caption"" style=""width:1000px;"">사진=물고기뮤직 제공</figcaption>
</figure>
                가수 임영웅이 진정성과 가치 중심의 방식으로 팬들을 만난다.<br/><br/>소속사 물고기뮤직은 29일 임영웅의 정규 2집 '아임 히어로 2(IM HERO 2)'가 피지컬 앨범(이하 'CD 앨범') 발매 대신 소장을 원하는 분들을 위해 화보가 담긴 패키지(앨범북)로 제작된다고 밝혔다.<br/><br/>앨범북에는 2집 관련 임영웅의 사진과 앨범 크레딧, 임영웅이 직접 전하는 메시지 등이 담긴다.<br/><br/>물고기뮤직은 ""임영웅과의 오랜 논의와 깊은 고민 끝에 내려진 것으로, 아티스트의 진심 어린 뜻을 소속사도 깊이 공감하며 함께 뜻을 모았다""며 ""앨범을 기념할 수 있는 형태는 달라지지만 그 안에 담긴 감정과 진심은 오히려 더 가까이 다가가길 바라는 마음으로 준비했으니 기대해 달라""고 설명했다.<br/><br/>CD 앨범을 실질적으로 감상하기 어려운 환경과 팬들의 정성과 응원이 팬들에게 부담이 되지 않기를 바라는 마음 그리고 환경적인 고민까지 고려한 결정이라고 한다. 앨범북은 임영웅 공식 MD 몰인 '아임히어로 몰'에서 오는 31일 오후 2시부터 단독으로 예약 판매되며, 음반 판매 집계에는 포함되지 않는다.<br/><br/>'아임 히어로 2'는 오는 8월 29일 베일을 벗는다. 컴백과 관련된 콘텐츠는 순차적으로 공개된다.<br/><br/>김수영 한경닷컴 기자 swimmingk@hankyung.com
                                    </div>"
"55세 유튜버, 14세 소녀 임신·출산 시키곤 ""사랑의 결실"" 주장","<div class=""article-body"" id=""articletxt"" itemprop=""articleBody"">
<figure class=""article-figure"">
<div class=""figure-img"">
<img alt=""/사진=JTBC '비하인드'"" src=""https://img.hankyung.com/photo/202507/01.41245106.1.jpg""/>
</div>
<figcaption class=""figure-caption"" style=""width:1200px;"">/사진=JTBC '비하인드'</figcaption>
</figure>
                14세 필리핀 소녀를 임신시킨 55세 한국인 유튜버 정모 씨가 아이에 대해 '사랑의 결실'이라고 말한 것으로 알려져 파장이 예고된다.<br/><br/>29일 방송되는 JTBC ‘아무도 몰랐던, 비하인드’는 필리핀에서 공부방을 운영하며 14세 여아를 임신시키고 출산하게 한 정 씨의 이야기가 공개된다.<br/><br/>정 씨가 올린 영상엔 올해 열 네살인 필리핀 소녀와 아이의 모습이 담겨있다. 소녀는 아기를 출산했다는 사실이 믿기지 않을 만큼 작고 앳된 모습이었다.<br/><br/>정 씨는 ""5개월 됐을 때, 임신한 걸 처음 알았다""며 아기가 두 사람의 ‘사랑의 결실’이라고 주장했다고 제작진은 전했다.<br/><br/>사건이 벌어진 곳은 필리핀 남부 민다나오섬에 위치한 가난한 마을. 정 씨는 이곳에서 공부방을 운영했다. 그는 공부방 아이들의 모습을 담은 영상 콘텐츠를 제작하고, 후원금을 받아서 빈곤층 아이들을 지원해왔다고 한다. 제작진은 그곳에서 14세 엄마가 된 소녀를 만난 것으로 알려졌다.<br/><br/>필리핀 수사 당국은 미성년자가 등장하는 유튜브 채널을 발견해 수사에 나섰고, 수사 결과 정 씨와 소녀가 동거 중이며, 최근 출산한 남자아이의 생물학적 아버지가 정 씨인 것을 확인했다.<br/><br/>현재 정 씨는 아동학대·성 착취 및 차별금지법 위반, 인신매매 방지법 위반, 강간 방지법 위반 등의 혐의로 마할리카 구치소에 수감된 상태다.<br/><br/>정 씨는 앞서 자신의 유튜브 라이브 방송을 통해 아이를 공개하며 ""자식 없이 살다가 갈 줄 알았는데 아이가 태어났다. 여기에서 눌어붙어서 살게 된 계기가 됐다""며 ""엄마가 너무 어린데, 저는 책임을 져야 하므로 도망가지 않았다""고 밝혔다. 그러면서 아이를 ""미라클 베이비""라고 칭하며 ""저에겐 첫 번째 아기""라고 덧붙였다.<br/><br/><br/>김예랑 한경닷컴 기자 yesrang@hankyung.com
                                    </div>"
"HK직캠|에스파 윈터, '첫눈처럼 하얀 옷 입고 예쁨 과시'","<div class=""article-body"" id=""articletxt"" itemprop=""articleBody"">
<div class=""article-video"" id=""floatingVideo"">
<div class=""floatingVideo-inner"">
<div class=""iframe-youtube vertical"">
<iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen="""" data-idx=""0"" frameborder=""0"" height=""810"" referrerpolicy=""strict-origin-when-cross-origin"" src=""https://play.mbus.tv/hls/1984ffc30d29bae7?autoplay"" suburl=""https://tv.naver.com/embed/81196607?autoPlay=true"" suburl1=""https://play.mbus.tv/hls/1984ffc30d29bae7?autoplay"" width=""456""></iframe>
</div>
<button class=""btn-close-video"" type=""button"">
<i class=""hk__icon-x""></i>
<span class=""blind"">영상 모듈 닫기</span>
</button>
</div>
</div>
<script>
                        $(function(){
                            $('#floatingVideo button').on('click', function(){
                                $('#floatingVideo').removeClass('active').addClass('stop');

                            });
    
                            
                            var videoHeight = $('#floatingVideo').height();
                            $(window).on('scroll', function(){
                                if($('#floatingVideo').hasClass('stop')){
                                    return false;
                                }
                                var videoTop = $('#floatingVideo').offset().top;
                                var scrTop = $(window).scrollTop();
                                if( scrTop < (videoTop + videoHeight) ) {
                                    $('#floatingVideo').removeClass('active'); 
                                }else {
                                    $('#floatingVideo').addClass('active');
                                }
                            });

                        });
                    </script>
<br/>그룹 에스파 윈터가 28일 오전 경기 성남시 현대백화점 판교점에서 열린 폴로 랄프 로렌 '폴로 플레이 백' 팝업스토어 오픈 행사에 참석해 포즈를 취하고 있다.
                    <figure class=""article-figure"">
<div class=""figure-img"">
<img alt=""HK직캠｜에스파 윈터, '첫눈처럼 하얀 옷 입고 예쁨 과시'"" src=""https://img.hankyung.com/photo/202507/01.41245053.1.jpg""/>
</div>
</figure>
                변성현 한경닷컴 기자 byun84@hankyung.com
                                    </div>"
"최수영, 키아누 리브스와 어깨 나란히…할리우드 데뷔작 포스터 공개","<div class=""article-body"" id=""articletxt"" itemprop=""articleBody"">
<figure class=""article-figure"">
<div class=""figure-img"">
<img alt=""/사진=판씨네마"" src=""https://img.hankyung.com/photo/202507/01.41243648.1.jpg""/>
</div>
<figcaption class=""figure-caption"" style=""width:1200px;"">/사진=판씨네마</figcaption>
</figure>
                배우 최수영의 할리우드 영화 진출작인 '발레리나' 포스터가 공개됐다. <br/><br/>'발레리나'는 '존 윅' 유니버스의 확장판으로, 암살자 조직 루스카 로마에서 킬러로 성장한 주인공 '이브(아나 데 아르마스)'가 아버지의 복수를 위해 진실을 추적하던 중 전설적인 킬러 '존 윅(키아누 리브스)'과 마주하며 벌어지는 피의 전쟁을 그린 작품이다.<br/><br/>이번 작품에서 최수영은 '이브'의 첫 임무 보호 대상인 '카틀라 박' 역으로 등장한다. 포스터에서 화려한 장신구와 원피스를 입은 최수영의 모습이 공개되자 캐릭터에 대한 관심이 고조된다.<br/><br/>'발레리나'는 '존 윅 3: 파라벨룸'과 같은 시기의 타임라인을 공유하며, 키아누 리브스가 '존 윅' 역으로 다시 등장해 화제를 모은다. 또한 콘티넨탈 호텔의 지배인 '윈스턴(이안 맥쉐인)', 컨시어지 '샤론(故 랜스 레딕)', 루스카 로마의 수장 '디렉터(안젤리카 휴스턴)' 등 '존 윅' 시리즈의 익숙한 인물들이 다시 등장해 '존 윅 유니버스'의 탄탄한 연결고리를 형성한다.<br/><br/>새롭게 합류한 캐릭터들도 주목할 만하다. '이브'의 복수극을 둘러싼 인물들로는 '챈슬러(가브리엘 번)', '파인(노만 리더스)', '덱스(로버트 마서)' 등이 있으며, 각자의 욕망과 과거를 지닌 인물들이 등장해 풍성한 액션과 드라마를 예고하고 있다.<br/><br/>현상금 1400만 달러가 걸린 전설의 킬러 '존 윅'과 그를 둘러싼 인물들, 그리고 새로운 히로인 '이브'가 펼치는 압도적 액션이 기대되는 '발레리나'는 오는 8월 6일 개봉한다. <br/><br/><br/>김예랑 한경닷컴 기자 yesrang@hankyung.com
                                    </div>"
"'워크돌' 휴대폰 대리점, 경찰 뜨니 손님들 줄행랑…알고보니 '불법여권'","<div class=""article-body"" id=""articletxt"" itemprop=""articleBody"">
<figure class=""article-figure"">
<div class=""figure-img"">
<img alt=""/사진='워크돌'"" src=""https://img.hankyung.com/photo/202507/01.41242750.1.jpg""/>
</div>
<figcaption class=""figure-caption"" style=""width:772px;"">/사진='워크돌'</figcaption>
</figure>
                417만 명의 구독자를 보유한 유튜브 채널 '워크맨'의 인기 코너 '워크돌'에서 불법 여권을 이용해 휴대전화를 개통하는 것으로 보이는 대리점 장면이 그대로 방송에 노출돼 논란이 일고 있다.<br/><br/>지난 24일 공개된 '워크돌'에서는 걸그룹 빌리 멤버 츠키가 일일 경찰 체험에 나서는 모습이 담겼다. 이날 츠키는 서울 구로구 가리봉동 지역에서 경찰들과 함께 순찰을 나섰고, 가리봉동 시장 인근의 한 통신사 대리점으로 향했다.<br/><br/>이들이 해당 대리점 안으로 들어가자 내부에 있던 손님들이 혼비백산하며 도망쳤고, 매장 사장은 미소만 지은 채 자리를 지켰다. 당시 화면에는 사장의 얼굴 아래로 ""내 손님 내놔""라는 자막이 삽입돼 있었다.
                    <figure class=""article-figure"">
<div class=""figure-img"">
<img alt=""/사진='워크돌'"" src=""https://img.hankyung.com/photo/202507/01.41242752.1.png""/>
</div>
<figcaption class=""figure-caption"" style=""width:772px;"">/사진='워크돌'</figcaption>
</figure>
<figure class=""article-figure"">
<div class=""figure-img"">
<img alt=""/사진='워크돌'"" src=""https://img.hankyung.com/photo/202507/01.41242751.1.jpg""/>
</div>
<figcaption class=""figure-caption"" style=""width:772px;"">/사진='워크돌'</figcaption>
</figure>
                특히 해당 대리점 유리창에는 '非法 护照 开卡'라는 문구가 적혀 있었다. 네티즌들은 이에 대해 '불법 여권 카드 개설'이라는 의미로, 곧 불법 여권을 이용해 휴대폰을 개통해주겠다는 내용이다. 이는 외국인 불법 체류자 등을 대상으로 한 불법 개통 행위가 실제 이뤄지고 있다는 정황으로 해석될 수 있다.<br/><br/>또 이날 방송에서는 경찰들이 가리봉동 시장 일대를 순찰하던 중 일부로부터 욕설을 들은 장면도 전파를 탔다.<br/><br/>경찰은 ""최근 불법체류자를 체포하다 보니 이 시장을 주로 이용하는 중국인 고객층이 사라졌다""며 ""그래서 저희를 별로 좋아하지 않는다""고 상황을 설명했다.<br/><br/>네티즌들은 ""가리봉동이 어떤 곳인지 이거 보고 알게 됐다"", ""서울에 이런 곳이 있다는 게 소름 끼친다"", ""불법적인 걸 버젓이 간판에 적어놓다니. 그래서 손님들이 다 도망갔나 보다"", ""대놓고 간판에 저러는 건 얼마나 (경찰을) 우습게 보면 저러는 건지"" 등의 부정적인 반응을 보이고 있다.<br/><br/><br/>김예랑 한경닷컴 기자 yesrang@hankyung.com
                                    </div>"
"'컴백' 매드클라운 ""새 앨범, 삶과 세상 향한 날것의 기록""","<div class=""article-body"" id=""articletxt"" itemprop=""articleBody"">
<figure class=""article-figure"">
<div class=""figure-img"">
<img alt=""매드클라운 /사진=이에스네이션, 뷰티플노이즈 제공"" src=""https://img.hankyung.com/photo/202507/01.41242104.1.png""/>
</div>
<figcaption class=""figure-caption"" style=""width:1200px;"">매드클라운 /사진=이에스네이션, 뷰티플노이즈 제공</figcaption>
</figure>
                래퍼 매드클라운이 세상에 대한 날카로운 시선과 따뜻한 진심을 담은 신보로 돌아온다.<br/><br/>매드클라운은 28일 오후 6시 새 앨범 '애니띵 고스 2(Anything Goes 2)'를 발표하며 오랜만에 팬들과 음악으로 만난다.<br/><br/>총 6곡이 실린 이번 앨범은 그가 20대 시절 발표한 '애니띵 고스'의 연장선에 있는 작품으로, '포트리 슬램(Poetry Slam)'이라는 다소 생소하지만 실험적인 장르를 기반으로 한다.<br/><br/>매드클라운은 이번 앨범을 ""삶을 살아가며 느낀 것들을 적는 일기장""이라고 표현했다. 앨범 전반에는 철저히 개인적인 서사와 정서가 담겨 있지만, 동시에 그가 오랜 시간 지켜보며 겪어온 사회적 현실에 대한 메시지도 깊숙이 배어 있다. 그는 ""더 이상 내 안에만 머물게 둘 수 없다는 한계에 부딪혔다""고 밝히며, 이번 작품이 단순한 고백을 넘어 사회에 던지는 목소리이기도 하다는 점을 강조했다.<br/><br/>동시에 매드클라운은 ""아티스트는 선동가도, 정치인도 아니다""라며 예술가로서의 본질적인 위치를 명확히 했다. 그는 ""아티스트는 지극히 개인적인 이야기를 할 때 오히려 가장 강력한 사회적 메시지를 갖는다""고 말했다.<br/><br/>특히 수록곡 '죽지마'는 이번 앨범의 정서를 집약적으로 보여준다. 매드클라운은 이 곡을 만들며 ""단 한 사람이라도 이 노래를 듣고 살아줬으면 좋겠다는, 이기적인 바람 하나에 집중했다""고 털어놨다. 절박하면서도 진심 어린 그 메시지는 많은 이들에게 깊은 울림을 전할 것으로 기대된다.<br/><br/>김수영 한경닷컴 기자 swimmingk@hankyung.com
                                    </div>"
"한뼘 더 자란 아일릿, 6주 간의 활동 마무리","<div class=""article-body"" id=""articletxt"" itemprop=""articleBody"">
<figure class=""article-figure"">
<div class=""figure-img"">
<img alt=""그룹 아일릿 /사진=빌리프랩 제공"" src=""https://img.hankyung.com/photo/202507/01.41242023.1.jpg""/>
</div>
<figcaption class=""figure-caption"" style=""width:1200px;"">그룹 아일릿 /사진=빌리프랩 제공</figcaption>
</figure>
                그룹 아일릿이 지난 26일 MBC '쇼! 음악중심' 출연을 끝으로 6주간의 미니 3집 '밤(bomb)' 공식 활동을 마무리했다.<br/><br/>아일릿(윤아, 민주, 모카, 원희, 이로하)은 이날 방송에서 후속곡 '젤리어스(jellyous)' 무대를 통해 에너지 넘치는 퍼포먼스로 시선을 사로잡았다. 멤버들은 팀 공식 SNS에 ""글릿(공식 팬덤명)이 있어서 6주 내내 든든했다. 늘 변함없이 응원해 줘서 고맙고 사랑한다""고 소감을 전했다.<br/><br/>데뷔 이래 '나'의 이야기에 집중해 온 아일릿은 이번 앨범에서 '너'와의 관계로 서사를 확장하면서 특유의 당차고 솔직한 매력을 극대화했다. 여기에 전매특허인 중독성 강한 비트와 독창적인 가사, 임팩트 있는 포인트 안무는 '아일릿스러움'을 한층 강화시키며 듣는 재미를 안겼다. 특히 이들의 '마법 소녀' 콘셉트가 1020 세대의 감성을 저격하며 트렌드를 이끌었다. '누구나 자신의 가능성을 깨우치면 마법 소녀가 될 수 있다'라는 메시지는 모두를 아우르는 공감대를 형성했다.<br/><br/>한층 업그레이드된 실력도 돋보였다. 아일릿은 몽환적 분위기의 타이틀곡 '빌려온 고양이(Do the Dance)'와 힙한 스타일의 후속곡 '젤리어스'로 폭넓은 음악 스펙트럼을 발휘했다. 이들은 완성도 높은 퍼포먼스와 안정적인 라이브 실력으로 연일 화제를 모으며 '믿고 듣는 아일릿' 수식어를 입증했다. 
                    <figure class=""article-figure"">
<div class=""figure-img"">
<img alt=""그룹 아일릿 /사진=빌리프랩 제공"" src=""https://img.hankyung.com/photo/202507/01.41242022.1.jpg""/>
</div>
<figcaption class=""figure-caption"" style=""width:1200px;"">그룹 아일릿 /사진=빌리프랩 제공</figcaption>
</figure>
                아일릿의 활약은 성과로도 이어졌다. '밤'은 발매 직후 일주일간 40만장 이상 팔려 한터차트와 써클차트의 주간 음반 차트 1위를 석권했다. 일본에서도 발매 첫날에 전작의 초동 판매량(발매 직후 일주일간 음반 판매량)을 뛰어넘고, 오리콘과 빌보드 재팬 등 현지 주요 음반 차트 최상위권을 장악했다. 또한 아일릿은 '밤'을 미국 빌보드 메인 앨범차트 '빌보드 200'에 진입시키며, 데뷔 이래 발표한 모든 앨범을 이 차트에 올려놓는 기록을 세웠다.<br/><br/>음악방송 2관왕에 올랐던 타이틀곡 '빌려온 고양이'의 인기는 한 달여가 지난 지금까지도 여전하다. 이 곡은 멜론 일간 차트에 82위(6월 16일 자)로 진입한 뒤 28위(7월 24일 자)까지 치솟았다. 멜론 주간 차트에서도 87위(6월 3주 차)에서 31위(7월 3주 차)까지 순위를 끌어올렸다. 꾸준히 사랑받는 아일릿의 뒷심이 돋보인다. <br/><br/>아일릿은 기세를 몰아 일본으로 무대를 옮긴다. 이들은 오는 9월 1일 일본 첫 번째 싱글 '토키 요 토마레(Toki Yo Tomare, 원제 時よ止まれ)'를 발표하고 현지에서 정식 데뷔한다. 이미 일본의 저명한 시상식에서 신인상을 차지할 정도로 주목받는 이들인 만큼 글로벌 팬들의 큰 관심이 쏠리고 있다.<br/><br/>또한 아일릿은 8월 10~11일, 9월 3~4일 각각 가나가와현 요코하마시 피아 아레나 MM과 오사카 오사카성 홀에서 팬콘서트를 열고 일본 내 첫 단독 공연을 펼친다. 오는 9월 14일에는 일본 대형 음악 축제 '록 인 재팬 페스티벌 2025'에 출격해 무대를 꾸민다.<br/><br/>김수영 한경닷컴 기자 swimmingk@hankyung.com
                                    </div>"
트랜스픽션·류수정 합류…'사운드플래닛페스티벌' 최종 라인업 보니,"<div class=""article-body"" id=""articletxt"" itemprop=""articleBody"">
<figure class=""article-figure"">
<div class=""figure-img"">
<img alt=""사진='사운드플래닛페스티벌 2025'"" src=""https://img.hankyung.com/photo/202507/01.41241968.1.png""/>
</div>
<figcaption class=""figure-caption"" style=""width:570px;"">사진='사운드플래닛페스티벌 2025'</figcaption>
</figure>
                음악의 성지 롤링홀이 30주년을 기념해 개최되는 '사운드플래닛페스티벌 2025'이 최종 라인업을 발표했다.<br/><br/>28일 공개된 '사운드플래닛페스티벌 2025' 라인업에는 대한민국의 얼터너티브 록밴드 트랜스픽션, 대한민국의 독보적인 스크리모 밴드 할로우잰, 걸그룹 러블리즈 출신의 류수정, 일본의 라이징 싱어송라이터 REN과 한국의 싱어송라이터 이츠, 밴드 확인, 일본 인디씬에서 떠오르는 신예 아쿠루 요루노 히츠지(明くる夜の羊)'까지 총 9팀이 합류했다.<br/><br/>앞서 공개된 라인업에는 YB, 체리필터, 넬, 어반자카파, 볼빨간사춘기, 이승윤, MASS OF THE FERMENTING DREGS, envy, KARDI, 김재중, 루시, 우즈, 엑스디너리 히어로즈, 한로로, 크라잉넛, 브로콜리너마저, 크랙샷, 중식이밴드, 극동아시아타이거즈 등이 이름을 올렸었다.<br/><br/>김천성 롤링홀 대표는 ""인디 아티스트 뿐만 아니라 K팝과 J팝을 아우르는 라인업에 다양한 장르의 음악, 그리고 인디씬과 상업 페스티벌 사이의 균형을 추구하는 사운드플래닛페스티벌의 지향, 방향성에 걸맞은 라인업을 통해 페스티벌을 더욱더 알차게 즐겨 주시기를 바란다""고 전했다.<br/><br/>'사운드플래닛페스티벌 2025'는 오는 9월 13, 14일 인천 파라다이스시티에서 개최된다.<br/><br/>김수영 한경닷컴 기자 swimmingk@hankyung.com
                                    </div>"
"[포토] 에스파 윈터, '눈 뗄 수 없는 아름다운 자태'","<div class=""article-body"" id=""articletxt"" itemprop=""articleBody"">
<figure class=""article-figure"">
<div class=""figure-img"">
<img alt=""[포토] 에스파 윈터, '눈 뗄 수 없는 아름다운 자태'"" src=""https://img.hankyung.com/photo/202507/03.41241903.1.jpg""/>
</div>
</figure>
                그룹 에스파 윈터가 28일 오전 경기 성남시 현대백화점 판교점에서 열린 폴로 랄프 로렌 '폴로 플레이 백' 팝업스토어 오픈 행사에 참석해 포즈를 취하고 있다.
                    <figure class=""article-figure"">
<div class=""figure-img"">
<img alt=""[포토] 에스파 윈터, '눈 뗄 수 없는 아름다운 자태'"" src=""https://img.hankyung.com/photo/202507/03.41241917.1.jpg""/>
</div>
</figure>
                △예쁜 미소
                    <figure class=""article-figure"">
<div class=""figure-img"">
<img alt=""[포토] 에스파 윈터, '눈 뗄 수 없는 아름다운 자태'"" src=""https://img.hankyung.com/photo/202507/03.41241915.1.jpg""/>
</div>
</figure>
                △클로즈업을 부르는 미모
                    <figure class=""article-figure"">
<div class=""figure-img"">
<img alt=""[포토] 에스파 윈터, '눈 뗄 수 없는 아름다운 자태'"" src=""https://img.hankyung.com/photo/202507/03.41241913.1.jpg""/>
</div>
</figure>
                △눈부신 청순미
                    <figure class=""article-figure"">
<div class=""figure-img"">
<img alt=""[포토] 에스파 윈터, '눈 뗄 수 없는 아름다운 자태'"" src=""https://img.hankyung.com/photo/202507/03.41241910.1.jpg""/>
</div>
</figure>
                △오늘도 예쁨
                    <figure class=""article-figure"">
<div class=""figure-img"">
<img alt=""[포토] 에스파 윈터, '눈 뗄 수 없는 아름다운 자태'"" src=""https://img.hankyung.com/photo/202507/03.41241907.1.jpg""/>
</div>
</figure>
                △사랑스러움 그 자체
                    <figure class=""article-figure"">
<div class=""figure-img"">
<img alt=""[포토] 에스파 윈터, '눈 뗄 수 없는 아름다운 자태'"" src=""https://img.hankyung.com/photo/202507/03.41241916.1.jpg""/>
</div>
</figure>
                △햇살보다 빛나는 미모<br/><br/>변성현 한경닷컴 기자 byun84@hankyung.com
                                    </div>"
