,상품명,정가,할인가
1,프로티원[1+1/7월올영픽] 프로티원 단백질쉐이크 포차코 에디션 파우치형 40g 5종,"3,900","3,900"
2,시미헤이즈뷰티[7월 올영픽][기획/단품] 시미헤이즈뷰티 솔라 틴트 블러쉬 듀오 5g,"58,000","40,100"
3,앰플엔[녹는실앰플] 앰플엔 펩타이드샷 2X 모공탄력앰플 100ml,"23,900","19,900"
4,텐바이텐[라스트찬스/마지막 재입고]텐바이텐 인형키링 (태닝 산리오캐릭터즈),"16,000","10,900"
5,메디힐[은혁굿즈증정] 메디힐 에센셜 마스크팩 10/10+1매 7종 택1,"20,000","10,000"
6,바이오더마[온라인 단독기획] 바이오더마 하이드라비오 에센스로션 2입 기획(200ml+200ml),"54,000","40,900"
7,메디힐[58관왕/200매] 메디힐 네모패드 100+100매 더블기획 8종 골라담기,"39,900","28,900"
8,마스터바이옴[단독기획] 마스터바이옴 지노마스터 질유산균  30일+2일분 증정 기획 (32일분),"41,000","27,400"
9,바이오던스[7월 올영픽/라부부이벤트] 바이오던스 리얼 딥 마스크 7+1매 기획(콜라겐/세라놀)(+씨켈프 1매 증정),"35,000","29,900"
10,리터니티[올영단독/리뷰이벤트] 리터니티 율무 스킨클린 팩 120g 기획 (천연곡물팩),"34,000","27,000"
11,두잉왓두잉왓 스킨톤 필터 로션 55ml 기획,"33,900","24,900"
12,빌리프[비타민마스크15ml 증정/ 하루특가] 빌리프 아쿠아 밤 프로즌 크림 기획(크림50ml+31ml+세라믹괄사),"32,000","23,400"
13,빌리프[비타C세럼20ml증정/하루특가] 빌리프 슈퍼나이츠 멀티 비타민마스크 75ml 단품/기획(75ml+25mlX2ea),"39,000","25,900"
14,딜라이트 프로젝트[7월 올영픽/1+1] 딜라이트 프로젝트 단백질쉐이크 4종 택1 (산리오 에디션),"3,900","3,900"
15,투크[미니 립펜슬 증정 기획] 투크 윗아웃 미러 립 틴트 15종 중 택1(기획/단품),"19,000","12,900"
16,롬앤[7월올영픽/산리오캐릭터즈] 롬앤 더 쥬시 래스팅 틴트 (+쉐이킹키링증정) 단품/기획,"13,000","9,900"
17,메디힐[14년연속 1위] 메디힐 에센셜 마스크팩 1매 고기능 7종 택1,"2,000","1,000"
18,바이오가[7/29 하루특가/대용량] 바이오가 글라이신 트리트먼트 1000ml,"29,500","24,480"
19,일소[헬로키티 콜라보] 일소 슈퍼 멜팅 세범 소프트너 150ML 기획 (+헬로키티 블랙헤드 제거기+ 착붙화장솜 40매),"26,000","17,900"
20,두잉왓두잉왓 스킨톤 레이어링 선스틱 22g,"25,000","15,680"
21,메디힐[1+1/단독기획] 메디힐 마데카소사이드 흔적 리페어 세럼 40+40ml 더블 기획,"36,900","21,900"
