순위,상품명,정가,할인가
1,앰플엔[녹는실앰플] 앰플엔 펩타이드샷 2X 모공탄력앰플 100ml,"23,900","19,900"
2,바이오더마[온라인 단독기획] 바이오더마 하이드라비오 에센스로션 2입 기획(200ml+200ml),"54,000","40,900"
3,메디큐브[흔적미백앰플]메디큐브 PDRN 핑크 펩타이드 앰플 30ml 리필기획(본품 30ML+리필 50ML),"46,000","25,900"
4,빌리프[비타민마스크15ml 증정/ 하루특가] 빌리프 아쿠아 밤 프로즌 크림 기획(크림50ml+31ml+세라믹괄사),"32,000","23,400"
5,메디힐[1+1/단독기획] 메디힐 마데카소사이드 흔적 리페어 세럼 40+40ml 더블 기획,"36,900","21,900"
6,라로슈포제[7월 올영픽] 라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+히알루 B5 세럼 1.5ml*2 증정),"40,000","28,900"
7,성분에디터[화잘먹크림/모공케어] 성분에디터 그린토마토 NMN 포어 리프팅 크림 50ml,"28,000","12,900"
8,브링그린[1등세럼] 브링그린 징크테카 트러블세럼 25ml+25ml리필 / 50ml+25리필 기획,"39,600","23,600"
9,웰라쥬[대용량150ml] 웰라쥬 리얼 히알루로닉 블루 100 앰플 75ml 1+1 기획,"46,000","29,900"
10,아누아아누아 피디알엔 히알루론산 캡슐 100 세럼 30ml 기획 (+크림 30ml),"39,000","23,500"
11,숨37[하루특가] [단독기획] [누룩폼클렌저 10g 증정] 숨37 시크릿 에센스 기획 (30ml/80ml),"32,000","21,900"
12,닥터지[추가증정/이영지Pick/수분진정] 닥터지 레드 블레미쉬 클리어 수딩 크림 70ml 증정기획 3종,"38,000","25,950"
13,이니스프리[리필기획] 이니스프리 비타민C 7일 톤업 세럼 30ML 리필 기획(+리필팩 30ML),"38,000","25,800"
14,에스네이처[모공 수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획 (60ml+30ml),"24,000","17,900"
15,메디큐브[흔적미백]메디큐브 PDRN 핑크 시카 수딩 토너 250ml,"26,500","15,000"
16,에스트라[올영 어워즈 1등 크림]에스트라 아토베리어365 크림 80ml,"33,000","29,700"
17,빌리프[본품동일제품튜브 25ml 증정] [폭탄듀오] 빌리프 더 트루 크림 모이스춰라이징 밤/아쿠아 밤 30ml 1+1 기획,"32,000","23,400"
18,아누아[화해1위] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),"58,500","29,500"
19,쏘내추럴쏘내추럴 올 데이 메이크업 픽서 120ml (안개분사 캔타입),"24,000","16,800"
20,VT[7월 올영픽/모공에센스]VT 리들샷100에센스50ml기획(+리들샷300 1ml*3개+PDRN에센스 1.5ml*3ea),"32,000","22,000"
21,브링그린[피지쓱싹] 브링그린 티트리시카수딩토너 500mL 기획,"27,000","16,900"
22,라로슈포제[7월 올영픽] 라로슈포제 시카플라스트 멀티 리페어 크림 100ml 기획 (+멜라B3 세럼 3ml 증정),"50,000","35,400"
23,쏘내추럴[7월 올영픽/태닝 마이멜로디] 쏘내추럴 올 데이 타이트 메이크업 세팅 픽서 120ml 더블기획(+러기지택),"42,000","31,500"
24,토리든[단독기획] 토리든 다이브인 저분자 히알루론산 세럼 50ml 기획(+멀티패드 10매),"22,000","16,500"
25,토리든[단독기획] 토리든 다이브인 저분자 히알루론산 세럼 50ml 리필기획(+리필팩 50ml),"36,000","27,000"
26,토리든[증량기획] 토리든 다이브인 저분자 히알루론산 토너 300ml 기획(+100ml 추가 증정),"21,000","15,700"
27,아누아[화해1위/수분광채크림] 아누아 피디알엔 히알루론산 100 수분 크림 60mL 기획 (+30mL),"32,000","19,500"
28,성분에디터[리뉴얼/잡티미백] 성분에디터 머루포도 비타씨 다크 스팟 앰플 40ml,"28,000","14,900"
29,메디큐브 에이지알[뷰티디바이스 1위] [광채토닝 메디큐브 부스터프로 쿠로미 에디션(+쿠로미헤드캡+세안밴드+디바이스클리너+스티커2종),"418,800","375,000"
30,오드로이[화해1위/화잘먹모공크림] 오드로이 블랙체리 모공수축크림 로프디 100ml 더블기획,"56,000","36,800"
31,마미케어[유시은pick/1등홈경락템] 마미케어 EMS브이쎄라 (화이트/핑크/NEW 퍼플에디션) (+전용 부스팅젤 본품 증정),"109,000","99,000"
32,퍼셀[7월 올영픽/리뷰이벤트/총 40ML] 퍼셀 20억/mL 픽셀바이옴 원액 20ml 더블 기획,"56,000","36,000"
33,제로이드[단독기획] 제로이드 인텐시브 크림 80ml 기획 (+크림 클렌저 25ml+데일리 선크림 10ml),"32,000","27,360"
